,momentum_1y,momentum_6m,momentum_3m,momentum_15d
FRT,0.062378167641324644,0.046593895290074405,0.012614903187952109,-0.035038673003448206
FDX,0.43533809875934426,0.47921253175275114,0.1826490200724371,-0.023286369227329073
FIS,-0.3232567513099557,-0.2088895869326225,-0.24977658623771226,-0.01697892271662771
FITB,0.09770687936191513,-0.02652519893899219,-0.08535825545171327,-0.06754181664196479
FSLR,0.4722354434396292,-0.16498695221812287,-0.3179596486714932,-0.014653570480488431
FE,0.30070294194220026,0.13082842915346404,0.11517857142857135,-0.015760441292356542
FMC,-0.6276418902873417,-0.5242718446601942,0.17806160781367453,0.11920057102069981
F,0.11976630963972856,-0.006908462867011966,-0.13468773513920196,-0.050371593724194974
FTNT,-0.19803843867644189,-0.025637939335579896,-0.0023416317475963844,-0.031235040689325255
FTV,-0.03372175141242917,0.1495484141986989,-0.013340544438435908,-0.04133823787002966
FOXA,0.06220529561117272,-0.026105753242434804,-0.20572280987252523,-0.01909227935019253
BEN,0.2279374684820994,0.04327335047129366,0.009117281392458043,-0.07061068702290074
FCX,0.34693384838242536,0.5867463026166091,0.07785935085007689,-0.058237677245104646
GRMN,0.08809270972805794,-0.002497248793701834,0.15337933734644982,-0.02916580844490213
IT,-0.6328691854321743,-0.40306200366524136,-0.378206402863392,-0.07304203474239623
GE,0.3708222811671107,-0.04225352112675973,-0.10124581040915659,-0.11929107021131591
GEN,-0.311135371179038,-0.33462214411247815,-0.31363306744017383,-0.16127603012848912
GNRC,0.4730990224610112,0.20349935987319512,0.403155874617954,-0.03045037080693469
GD,0.31772749228996955,0.09514251304696919,0.02871729419272495,-0.02060204363435525
GIS,-0.39030179721939706,-0.27132725430597804,-0.2334257088040933,-0.1867933061962913
GM,0.4779787652379077,0.24247933884297534,-0.09171097148380847,0.0007988283850348665
GPC,-0.11131772462175682,-0.22730947306533467,-0.16249800860283647,-0.08780149227832723
GILD,0.2491752199413486,0.2296797474064043,0.08457988542329797,-0.05030307252839106
GPN,-0.32013234409464586,-0.19988200589970495,-0.16014367104285365,-0.10940372997110592
GL,0.07125872516683196,-0.01958581958582084,-0.026012971615872793,-0.014466163291228629
GDDY,-0.5536426736623483,-0.42049244305683664,-0.35632093316519486,-0.1288533333333335
GS,0.384691883592716,0.0004033630393402987,-0.12659021877888765,-0.03193344961760369
HAL,0.5120904836193461,0.574096630125863,0.38563259471050815,0.14029411764705935
HIG,0.0981960656272951,0.02436424546977256,-0.03748748032622662,-0.031668346048654095
HAS,0.47750977835723685,0.21854838709677482,0.1102130786186637,-0.03900784396862411
HCA,0.4244803283076133,0.15714078654942654,0.010825525449480677,-0.09707639818288061
DOC,-0.17217562900838734,-0.09444144630329288,0.05006257822277793,-0.026682134570765403
HSIC,0.05705662546708812,0.12255799755799623,-0.035156762429490285,-0.050845270357465555
HSY,0.2470043896073082,0.13915682236913351,0.1408878758276344,-0.06369143060751836
HPE,0.5604738154613464,0.036009933774834524,0.024979524979524825,0.18681839734471328
HLT,0.2815496739547376,0.15202482663499417,0.027332672793741075,0.01157275021026094
HOLX,0.23114513764456435,0.1512566641279498,0.015723693052008603,-0.0007932310946592303
HD,-0.09565289530446586,-0.19603215576369992,-0.05850007197351381,-0.08530752664112085
HON,0.11952786493351075,0.14888071143820625,0.14449366121887786,-0.04348751116973759
HRL,-0.2278266756939752,-0.06324435318275212,-0.060930424042816345,-0.06478064780647841
HST,0.31279620853080714,0.1214574898785421,0.050379198266521596,0.010948905109489093
HWM,0.716533671414721,0.21455332172444752,0.08693804306762476,-0.07573384732763155
HPQ,-0.32414515003489186,-0.27669902912621325,-0.16292134831460625,-0.0036008230452672096
HUM,-0.35251212558776623,-0.31125201843172723,-0.32261688035015645,-0.022525292046280176
HBAN,0.0006570302233905867,-0.11863425925925908,-0.1405191873589161,-0.06334563345633448
HII,0.8893438579181063,0.4160473285265309,0.08088961643758319,-0.10493841587398056
IBM,-0.034270404286799616,-0.14066113938013636,-0.2058533377178562,-0.06496825150998886
IEX,0.02433221585378953,0.19182132746146618,0.052093746528933504,-0.0370558633660345
IDXX,0.37000480307396844,-0.07302448773988102,-0.16798658207540262,-0.05897199036653378
ITW,0.021913519859127595,0.013191076624636366,0.03606284218043321,-0.05424980987216199
INCY,0.5034280117531826,0.13242345997786753,-0.08257794601055957,-0.037919147602632375
IR,0.0004925501785506547,0.010446461882850588,-0.0027003805081624588,-0.05851680185399766
PODD,-0.17645057645057483,-0.3253127709649446,-0.2438220186033595,-0.07834510766106839
INTC,0.8587933247753559,0.28141592920354097,0.20834492350486822,0.0025386568197554027
ICE,-0.08191398461976629,-0.034794586177985254,-0.008123576835497026,-0.028042455674828215
IFF,-0.08646276938959818,0.17591362126245813,0.059413349296617346,-0.038701792504073684
IP,-0.34949531362653175,-0.20225464190981524,-0.08214649033570687,-0.08493914807302227
INTU,-0.2974929637041003,-0.37580768730395053,-0.3593038265798183,-0.1021541148584022
ISRG,-0.08097197881180596,0.06713158797301877,-0.18892287372701655,-0.04679138924063542
IVZ,0.46964856230031704,0.03000447828034103,-0.1522300036859563,-0.026248941574936402
INVH,-0.27747012532789117,-0.14072790294627335,-0.09194139194139195,-0.05164498852333621
IQV,-0.058410433619440094,-0.042453097545767315,-0.2507207167250629,-0.029972439136426332
IRM,0.15093688929762172,-0.005364593681700391,0.23058013765978358,-0.045658183204651204
JBHT,0.36034904475441487,0.556816462399758,0.03709303497631322,-0.03312502936616046
JKHY,-0.06902506963788368,0.12653363893757508,-0.09767818574514087,-0.02337677517386494
J,0.05644041493097829,-0.11301604718145641,-0.049250220523375576,-0.05342505854800894
JNJ,0.4723804805548697,0.3391157420444959,0.1452793834296724,-0.00916819469911656
JCI,0.589787028073574,0.24460022735884834,0.08318905103471019,-0.006953892668178474
JPM,0.13962670495333818,-0.08726482895199106,-0.1294214422813268,-0.011143025227532521
KDP,-0.22868900646678358,0.02180685358255552,-0.06118067978533104,-0.06983339241403752
KEY,0.15779816513761413,0.008524240809802075,-0.10199240986717262,-0.04490413723511599
